word,count
什么,342
UP,274
真的,243
doge,241
一个,229
就是,227
游戏,211
视频,191
一起,187
这个,185
自己,177
这么,177
狗头,161
可以,150
我们,146
系列,142
世界,141
没有,134
还是,129
体验,128
联动,118
老师,116
怎么,116
到底,116
不是,114
百万,111
如何,111
这是,108
中国,107
梦幻,106
竟然,99
可爱,98
播放,86
开始,85
为什么,85
原来,85
电影,84
挑战,82
鬼畜,81
故事,80
已经,79
神仙,76
终于,74
真实,74
永远,74
一集,74
看到,72
还原,72
硬核,71
万点,71
欢迎,70
不会,70
快乐,69
一定,66
生活,65
狂喜,65
省流,65
...,65
制作,64
大家,64
这样,64
好家伙,63
动画,63
美食,63
知道,63
但是,62
不要,62
高能,62
青春,60
真正,60
恭喜,59
音乐,59
震撼,58
起来,58
人生,58
技术,58
剧情,57
致敬,57
不能,56
拉满,55
谢谢,55
好听,55
童年,54
背后,54
历史,53
更新,53
人类,53
经典,53
回归,52
知识,52
时候,52
收藏,51
一次,51
整活,50
魔法,50
质量,50
最后,49
番茄,49
出来,49
效果,49
学会,48
感觉,46
亿遍,46
还有,45
感受,45
看看,45
有点,44
科普,43
新番,43
英雄,42
希望,42
妈妈,42
所以,42
回忆,42
一天,42
感动,42
复刻,42
多少,41
这次,41
专业,41
喜欢,40
完结,40
如此,40
手机,40
爷青回,40
离谱,40
两个,39
细节,39
艺术,39
你们,39
现场,39
可能,39
如果,39
时间,39
神奇,39
加油,38
现在,38
所有,38
恐怖,38
一种,38
剪辑,38
节目,38
进来,38
未来,37
朋友,37
DNA,37
成为,37
属于,37
建议,36
出现,36
真是,36
那么,36
双厨,36
二创,36
无限,35
第一次,35
现实,35
发现,35
精彩,35
一年,35
泪目,35
需要,34
评论,34
以后,34
这些,34
浪漫,34
一场,34
什么样,34
一直,34
撒花,34
绝美,34
存在,34
一下,33
东西,33
官方,33
来到,33
解析,33
相信,33
以为,33
期待,33
居然,33
了解,33
兄弟,33
成功,33
时代,33
同学,32
角色,32
视角,32
再来,32
直接,32
好吃,32
AI,32
一样,32
灵魂,32
美国,32
MC,32
全程,32
传奇,32
完美,32
神话,32
