week_name,count,avg_view,avg_interact
2019第10期 05.24 - 05.30,13,4255489.0,317968.0
2019第11期 05.31 - 06.06,14,6193107.0,474964.0
2019第12期 06.07 - 06.13,10,7627168.0,506420.0
2019第13期 06.14 - 06.20,10,4260400.0,320427.0
2019第14期 06.21 - 06.27,10,3541978.0,488531.0
2019第15期 06.28 - 07.04,7,6424159.0,950165.0
2019第16期 07.05 - 07.11,12,6361185.0,425552.0
2019第17期 07.12 - 07.18,12,6062397.0,555874.0
2019第18期 07.19 - 07.25,12,5971201.0,587120.0
2019第19期 07.26 - 08.01,12,4368238.0,620899.0
2019第1期 03.22 - 03.28,10,6533743.0,474241.0
2019第20期 08.02 - 08.08,13,9303511.0,1559852.0
2019第21期 08.09 - 08.15,12,7114810.0,788269.0
2019第22期 08.16 - 08.22,14,5080391.0,460599.0
2019第23期 08.23 - 08.29,17,6974102.0,940390.0
2019第24期 08.30 - 09.05,13,6767363.0,987534.0
2019第25期 09.06 - 09.12,22,4769157.0,548811.0
2019第26期 09.13 - 09.19,18,10165287.0,908904.0
2019第27期 09.20 - 09.26,24,5244454.0,480582.0
2019第28期 09.27 - 10.03,22,4574809.0,448303.0
2019第29期 10.04 - 10.10,23,4939970.0,459576.0
2019第2期 03.29 - 04.04,14,2398056.0,217748.0
2019第30期 10.11 - 10.17,23,5120579.0,348990.0
2019第31期 10.18 - 10.24,22,6849639.0,702911.0
2019第32期 10.25 - 10.31,15,4053154.0,432170.0
2019第33期 11.01 - 11.07,21,4145854.0,510674.0
2019第34期 11.08 - 11.14,21,4724440.0,448054.0
2019第35期 11.15 - 11.21,22,5782905.0,612415.0
2019第36期 11.22 - 11.28,18,7340115.0,851143.0
2019第37期 11.29 - 12.05,17,5036973.0,552374.0
2019第38期 12.06 - 12.12,15,6438264.0,575585.0
2019第39期 12.13 - 12.19,22,5704791.0,559795.0
2019第3期 04.05 - 04.11,12,5217255.0,525547.0
2019第40期 12.20 - 12.26,19,6403161.0,678341.0
2019第41期 12.27 - 01.02,20,7455551.0,717936.0
2019第4期 04.12 - 04.18,13,2942461.0,265656.0
2019第5期 04.19 - 04.25,12,3093085.0,219509.0
2019第6期 04.26 - 05.02,11,5451124.0,561264.0
2019第7期 05.03 - 05.09,13,4522735.0,470453.0
2019第8期 05.10 - 05.16,12,5480855.0,471277.0
2019第9期 05.17 - 05.23,14,7199980.0,583507.0
2020第42期 01.03 - 01.09,22,6212993.0,628046.0
2020第43期 01.10 - 01.16,23,4136620.0,406332.0
2020第44期 01.17 - 01.23,21,5096997.0,779623.0
2020第45期 01.24 - 01.30,5,11651189.0,1190260.0
2020第46期 01.31 - 02.06,1,4536946.0,860890.0
2020第47期 02.07 - 02.13,2,2762437.0,489318.0
2020第48期 02.14 - 02.20,3,10650942.0,989922.0
2020第49期 02.21 - 02.27,2,6219833.0,479270.0
2020第50期 02.28 - 03.05,3,4919101.0,578402.0
2020第51期 03.06 - 03.12,2,2486968.0,428938.0
2020第52期 03.13 - 03.19,2,3413835.0,620564.0
2020第54期 03.27 - 04.02,2,4179599.0,668575.0
2020第55期 04.03 - 04.09,3,8502431.0,974406.0
2020第56期 04.10 - 04.16,2,5044842.0,464914.0
2020第57期 04.17 - 04.23,5,7554653.0,844962.0
2020第58期 04.24 - 04.30,2,3897751.0,536804.0
2020第59期 05.01 - 05.07,3,7972743.0,1269819.0
2020第60期 05.08 - 05.14,1,1646967.0,146337.0
2020第61期 05.15 - 05.21,2,4666355.0,596169.0
2020第62期 05.22 - 05.28,4,12082395.0,1157643.0
2020第63期 05.29 - 06.04,3,5932556.0,771371.0
2020第64期 06.05 - 06.11,4,6753872.0,831138.0
2020第66期 06.19 - 06.25,2,6414118.0,777797.0
2020第67期 06.26 - 07.02,1,4767240.0,588809.0
2020第68期 07.03 - 07.09,2,4571467.0,663885.0
2020第69期 07.10 - 07.16,1,5120481.0,264873.0
2020第70期 07.17 - 07.23,1,7063022.0,832261.0
2020第71期 07.24 - 07.30,2,12209005.0,1952575.0
2020第72期 07.31 - 08.06,1,4486036.0,1026408.0
2020第73期 08.07 - 08.13,1,5803717.0,650570.0
2020第74期 08.14 - 08.20,1,46706690.0,7755715.0
2020第76期 08.28 - 09.03,1,6904881.0,1686275.0
2020第77期 09.04 - 09.10,2,3372962.0,411556.0
2020第78期 09.11 - 09.17,2,2449753.0,465061.0
2020第79期 09.18 - 09.24,1,3505588.0,585993.0
2020第80期 09.25 - 10.01,3,10218487.0,1110225.0
2020第81期 10.02 - 10.08,1,4835533.0,359520.0
2020第83期 10.16 - 10.22,2,4534651.0,428415.0
2020第84期 10.23 - 10.29,3,6396465.0,816276.0
2020第85期 10.30 - 11.05,2,3892990.0,273699.0
2020第87期 11.13 - 11.19,1,2711285.0,214675.0
2020第88期 11.20 - 11.26,1,5150334.0,374725.0
2020第89期 11.27 - 12.03,2,4101544.0,348247.0
2020第90期 12.04 - 12.10,3,2563581.0,304352.0
2020第92期 12.18 - 12.24,4,4458772.0,837175.0
2020第93期 12.25 - 12.31,1,2026332.0,276173.0
2021第100期 02.12 - 02.18,2,7842309.0,824562.0
2021第101期 02.19 - 02.25,2,6338236.0,601572.0
2021第102期 02.26 - 03.04,3,2672275.0,301911.0
2021第103期 03.05 - 03.11,2,2995574.0,288681.0
2021第104期 03.12 - 03.18,1,11740323.0,1143977.0
2021第105期 03.19 - 03.25,37,4297646.0,375443.0
2021第106期 03.26 - 04.01,2,2873899.0,304245.0
2021第107期 04.02 - 04.08,3,5595425.0,590320.0
2021第108期 04.09 - 04.15,3,6002489.0,657544.0
2021第109期 04.16 - 04.22,3,2624013.0,304315.0
2021第110期 04.23 - 04.29,1,2784510.0,279959.0
2021第111期 04.30 - 05.06,5,4778830.0,457783.0
2021第112期 05.07 - 05.13,3,4797362.0,592973.0
2021第113期 05.14 - 05.20,2,2612279.0,271775.0
2021第114期 05.21 - 05.27,1,5767207.0,729012.0
2021第115期 05.28 - 06.03,2,8057218.0,1084139.0
2021第116期 06.04 - 06.10,2,8038516.0,799259.0
2021第117期 06.11 - 06.17,3,12705669.0,1510602.0
2021第118期 06.18 - 06.24,1,6645145.0,887622.0
2021第120期 07.02 - 07.08,2,9214893.0,812009.0
2021第121期 07.09 - 07.15,4,4190036.0,477941.0
2021第123期 07.23 - 07.29,6,6392678.0,739943.0
2021第124期 07.30 - 08.05,2,6373160.0,726643.0
2021第125期 08.06 - 08.12,3,3513311.0,368079.0
2021第126期 08.13 - 08.19,2,15199707.0,2974132.0
2021第127期 08.20 - 08.26,3,1747221.0,298337.0
2021第128期 08.27 - 09.02,2,2419050.0,305429.0
2021第129期 09.03 - 09.09,1,5779657.0,832999.0
2021第130期 09.10 - 09.16,4,5473994.0,612268.0
2021第131期 09.17 - 09.23,2,4777785.0,350452.0
2021第132期 09.24 - 09.30,5,3204900.0,433197.0
2021第133期 10.01 - 10.07,1,10250452.0,1053130.0
2021第134期 10.08 - 10.14,2,4702821.0,762205.0
2021第135期 10.15 - 10.21,1,18307508.0,2423104.0
2021第136期 10.22 - 10.28,1,6548917.0,645312.0
2021第137期 10.29 - 11.04,4,9164964.0,1153801.0
2021第138期 11.05 - 11.11,3,4890471.0,562040.0
2021第139期 11.12 - 11.18,2,15223687.0,1830468.0
2021第140期 11.19 - 11.25,4,8235572.0,1035341.0
2021第141期 11.26 - 12.02,1,5676376.0,633538.0
2021第142期 12.03 - 12.09,2,4578827.0,393330.0
2021第143期 12.10 - 12.16,4,6177895.0,725710.0
2021第144期 12.17 - 12.23,4,4150387.0,440439.0
2021第145期 12.24 - 12.30,3,4263348.0,507108.0
2021第146期 12.31 - 01.06,4,5504989.0,890808.0
2021第94期 01.01 - 01.07,1,2557792.0,218600.0
2021第96期 01.15 - 01.21,2,4625619.0,392509.0
2021第97期 01.22 - 01.28,3,5834523.0,848177.0
